check,var,slope,se,n,base_slope,delta_pct,p,ci_lo,ci_hi,se_classic
4_drop_high_income,electronic_payments_pct_number,0.04887286013852657,0.020304433524936872,72,0.08643168290970826,-43.45492475301898,,,,
4_drop_high_income,vdem_executive,1.0654697461943827,0.7817709908056419,81,3.5839472466432007,-70.27105387244961,,,,
4_drop_high_income,vdem_rigorous_impartial,2.2140653626778533,0.8827577902605678,81,4.178403054005377,-47.01168522851161,,,,
5_drop_low_income,fte_per_laborforce,5123.522596309223,722.6605700545508,102,5693.206420090301,-10.006379213140178,,,,
5_drop_low_income,vdem_meritocratic_recruitment,3.9615775006593688,1.0655387149396929,103,4.887009519731971,-18.936570827947925,,,,
5_drop_low_income,staff_index,3.0832114436521705,1.3388650976976821,101,3.4749290077924333,-11.272678183118185,,,,
5_drop_low_income,electronic_payments_pct_number,0.06317914308540122,0.024177425039525167,91,0.08643168290970826,-26.902796568936466,,,,
5_drop_low_income,vdem_executive,3.1862489113220094,0.6980343321286581,103,3.5839472466432007,-11.096657064182065,,,,
5_drop_low_income,vdem_rigorous_impartial,3.941063353362053,0.62440762667182,103,4.178403054005377,-5.68015334030097,,,,
6_drop_EU,fte_per_laborforce,8093.131089845927,1100.42174615905,94,5693.206420090301,42.15418329619532,,,,
6_drop_EU,vdem_meritocratic_recruitment,3.232861524670961,1.0309018198800592,97,4.887009519731971,-33.84785702549096,,,,
6_drop_EU,staff_index,1.4005544282064528,1.5067479562456996,95,3.4749290077924333,-59.69545204907071,,,,
6_drop_EU,electronic_payments_pct_number,0.054852841936843456,0.020776771323106444,85,0.08643168290970826,-36.53618662713529,,,,
6_drop_EU,vdem_executive,2.3389560688423763,0.6915248316372248,97,3.5839472466432007,-34.73798837209194,,,,
6_drop_EU,vdem_rigorous_impartial,3.088040825071673,0.6787374158693968,97,4.178403054005377,-26.09519031172671,,,,
7_control_log_gdp,fte_per_laborforce,3906.4040806852836,839.4298504479581,118,5693.206420090301,-31.38481564799256,,,,
7_control_log_gdp,vdem_meritocratic_recruitment,1.0782784024771812,1.158782212193813,121,4.887009519731971,-77.93582357219718,,,,
7_control_log_gdp,staff_index,0.31094831265930256,1.1636991754945896,119,3.4749290077924333,-91.05166430847912,,,,
7_control_log_gdp,electronic_payments_pct_number,0.03604173266404051,0.020287212428131092,107,0.08643168290970826,-58.30032292476375,,,,
7_control_log_gdp,vdem_executive,1.5931975679812125,0.7066429111831016,121,3.5839472466432007,-55.54628853777258,,,,
7_control_log_gdp,vdem_rigorous_impartial,2.354809796380868,0.7435726386810003,121,4.178403054005377,-43.643306642628225,,,,
9_spearman_rho,fte_per_laborforce,0.6511125962771027,,118,5693.206420090301,,1.4356442623851038e-15,,,
9_spearman_rho,vdem_meritocratic_recruitment,0.4285368319624624,,121,4.887009519731971,,9.405588002635311e-07,,,
9_spearman_rho,staff_index,0.3170844609030053,,119,3.4749290077924333,,0.0004420901680457632,,,
9_spearman_rho,electronic_payments_pct_number,0.41330485365208813,,107,0.08643168290970826,,9.664911783013656e-06,,,
9_spearman_rho,vdem_executive,0.5196043896490989,,121,3.5839472466432007,,1.0150054067351587e-09,,,
9_spearman_rho,vdem_rigorous_impartial,0.5361197669692452,,121,4.178403054005377,,2.3385345834716113e-10,,,
10_bootstrap_ci,fte_per_laborforce,5693.206420090301,838.8214784695879,118,5693.206420090301,,,4313.093614499467,7425.587920343944,
10_bootstrap_ci,vdem_meritocratic_recruitment,4.887009519731971,1.0583621579955338,121,4.887009519731971,,,2.8953093887946673,6.973001771455019,
10_bootstrap_ci,staff_index,3.4749290077924333,1.2125630825360798,119,3.4749290077924333,,,1.042444561141313,5.75495377679802,
10_bootstrap_ci,electronic_payments_pct_number,0.08643168290970826,0.019154255745766534,107,0.08643168290970826,,,0.04835244754136218,0.12244938248075758,
10_bootstrap_ci,vdem_executive,3.5839472466432007,0.7198036951631138,121,3.5839472466432007,,,2.348874291519563,5.11760633455652,
10_bootstrap_ci,vdem_rigorous_impartial,4.178403054005377,0.6245431672209348,121,4.178403054005377,,,2.9604019462513698,5.395116703241794,
12_HC3_se,fte_per_laborforce,5693.206420090302,840.0852477121812,118,5693.206420090301,25.306213957498347,,,,670.4258481523693
12_HC3_se,vdem_meritocratic_recruitment,4.887009519731971,1.0747779868467027,121,4.887009519731971,15.652618344155423,,,,0.9293157407369825
12_HC3_se,staff_index,3.4749290077924346,1.2459845269200414,119,3.4749290077924333,-0.161620624209981,,,,1.2480015548230967
12_HC3_se,electronic_payments_pct_number,0.08643168290970821,0.019882827274192803,107,0.08643168290970826,1.6230848905884812,,,,0.019565266391587562
12_HC3_se,vdem_executive,3.5839472466431994,0.7419156932845506,121,3.5839472466432007,16.371855708496497,,,,0.6375387663689052
12_HC3_se,vdem_rigorous_impartial,4.178403054005381,0.6583090057542841,121,4.178403054005377,12.147759275061517,,,,0.5870014791286814
